Gtm,Date,Location,Opp_name,Type,Rslt,Tm,Opp_score,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%_opp,TOV%_opp,ORB%_opp,FT/FGA_opp
1,2024-11-06,"",Sacred Heart,REG (Non-Conf),W,92,56,"",123.9,75.4,74.2,.371,.500,.631,68.9,78.1,13.5,31.7,.621,14.1,42.9,.242,.393,17.8,9.1,.214
2,2024-11-09,"",New Hampshire,REG (Non-Conf),W,92,53,"",130.2,75.0,70.7,.397,.444,.614,62.5,62.5,7.1,28.6,.579,11.8,40.0,.302,.385,21.8,10.3,.333
3,2024-11-13,"",Le Moyne,REG (Non-Conf),W,90,49,"",138.4,75.4,65.0,.175,.524,.660,69.4,68.6,10.8,27.3,.651,9.3,47.8,.127,.407,16.0,11.5,.093
4,2024-11-19,"",Texas A&MâCommerce,REG (Non-Conf),W,81,46,"",107.9,61.3,75.1,.237,.407,.617,60.9,56.3,13.3,26.2,.602,22.4,41.7,.169,.280,19.7,27.5,.220
5,2024-11-25,N,Memphis,REG (Non-Conf),L,97,99,OT,132.5,135.2,65.1,.369,.462,.635,53.3,68.8,4.1,9.7,.600,10.5,42.4,.292,.660,14.3,33.3,.547
6,2024-11-26,N,Colorado,REG (Non-Conf),L,72,73,"",115.7,117.3,62.2,.250,.596,.619,48.0,68.0,4.8,17.2,.596,13.4,20.8,.192,.611,15.9,26.9,.400
7,2024-11-28,N,Dayton,REG (Non-Conf),L,67,85,"",101.2,128.3,66.2,.177,.468,.498,40.7,69.2,9.1,12.1,.484,6.9,20.0,.113,.580,13.5,29.2,.540
8,2024-11-30,"",Maryland Eastern Shore,REG (Non-Conf),W,99,45,"",143.8,65.4,68.9,.458,.458,.689,68.1,71.9,13.1,11.1,.627,11.1,38.5,.424,.320,15.1,14.0,.260
9,2024-12-04,"",Baylor,REG (Non-Conf),W,76,72,"",124.9,118.3,60.9,.717,.543,.616,50.9,66.7,4.9,21.1,.543,10.2,33.3,.565,.545,11.1,35.5,.218
10,2024-12-08,@,Texas,REG (Non-Conf),W,76,65,"",119.7,102.4,63.5,.296,.370,.617,60.7,75.0,7.9,12.1,.602,16.3,40.7,.204,.500,12.8,20.7,.300
11,2024-12-14,N,Gonzaga,REG (Non-Conf),W,77,71,"",110.8,102.2,69.5,.356,.407,.558,54.1,59.3,5.8,9.8,.500,9.2,24.1,.305,.491,13.2,18.8,.263
12,2024-12-18,"",Xavier,REG (Conf),W,94,89,OT,127.1,120.3,65.8,.304,.348,.595,60.4,63.6,9.5,29.4,.536,8.1,40.0,.290,.612,11.7,13.0,.310
13,2024-12-21,@,Butler,REG (Conf),W,78,74,"",113.1,107.3,69.0,.267,.400,.577,49.2,66.7,7.3,7.7,.542,10.6,19.4,.217,.472,9.4,20.0,.426
14,2025-01-01,@,DePaul,REG (Conf),W,81,68,"",120.0,100.7,67.5,.161,.468,.607,55.0,73.3,8.9,17.1,.597,16.3,38.7,.113,.425,12.0,27.6,.434
15,2025-01-05,"",Providence,REG (Conf),W,87,84,"",130.7,126.2,66.6,.667,.271,.688,42.9,59.3,9.0,14.9,.625,10.0,23.8,.563,.533,11.3,42.9,.333
16,2025-01-08,@,Villanova,REG (Conf),L,66,68,"",112.7,116.2,58.5,.080,.540,.636,52.1,85.2,5.1,11.4,.640,17.5,23.8,.040,.509,7.6,25.9,.218
17,2025-01-11,@,Georgetown,REG (Conf),W,68,60,"",104.9,92.5,64.8,.179,.464,.560,49.1,53.8,12.3,26.5,.545,15.3,26.9,.125,.459,18.9,31.0,.306
18,2025-01-18,"",Creighton,REG (Conf),L,63,68,"",107.2,115.7,58.8,.086,.328,.522,43.5,61.5,3.4,20.0,.500,9.0,24.0,.086,.563,14.0,33.3,.292
19,2025-01-21,"",Butler,REG (Conf),W,80,78,OT,112.7,109.9,63.1,.209,.299,.543,50.7,62.5,8.5,22.5,.530,9.8,32.4,.134,.500,12.2,29.4,.322
20,2025-01-25,@,Xavier,REG (Conf),L,72,76,"",105.5,111.4,68.2,.309,.473,.571,57.9,57.7,7.3,18.4,.536,16.0,32.1,.236,.536,11.9,17.2,.309
21,2025-01-29,"",DePaul,REG (Conf),W,72,61,"",111.2,94.2,64.8,.382,.400,.554,52.5,75.0,6.2,20.7,.500,8.5,25.0,.309,.480,17.0,14.8,.260
22,2025-02-01,@,Marquette,REG (Conf),W,77,69,"",114.5,102.6,67.2,.452,.452,.755,60.4,64.0,5.9,14.6,.738,29.2,42.9,.357,.452,9.8,33.3,.190
23,2025-02-07,"",St. John's (NY),REG (Conf),L,62,68,"",89.2,97.8,69.5,.431,.569,.504,60.3,55.0,5.8,15.9,.471,22.7,37.5,.275,.431,7.6,19.4,.185
24,2025-02-11,@,Creighton,REG (Conf),W,70,66,"",104.2,98.2,67.2,.227,.394,.479,52.2,38.5,11.9,8.7,.439,7.6,28.2,.182,.479,14.0,16.7,.447
25,2025-02-15,@,Seton Hall,REG (Conf),L,68,69,OT,98.9,100.3,61.1,.356,.441,.493,54.4,68.2,7.3,14.3,.441,15.9,40.6,.271,.438,11.2,33.3,.203
26,2025-02-18,"",Villanova,REG (Conf),W,66,59,"",107.2,95.8,61.6,.353,.373,.554,55.6,73.9,6.5,21.9,.490,11.8,32.1,.314,.426,11.5,19.2,.241
27,2025-02-23,@,St. John's (NY),REG (Conf),L,75,89,"",103.0,122.3,72.8,.492,.390,.515,50.0,69.6,8.2,17.8,.441,18.9,44.7,.390,.531,12.5,44.1,.328
28,2025-02-26,"",Georgetown,REG (Conf),W,93,79,"",141.8,120.5,65.6,.339,.407,.679,68.1,57.6,9.1,17.2,.636,9.3,52.2,.305,.616,12.6,16.7,.179
29,2025-03-01,@,Providence,REG (Conf),W,75,63,"",120.9,101.6,62.0,.288,.385,.634,60.3,50.0,4.8,23.3,.625,15.7,32.0,.192,.480,10.3,18.2,.300
30,2025-03-05,"",Marquette,REG (Conf),W,72,66,"",112.3,102.9,64.1,.215,.308,.502,60.0,61.5,3.1,20.0,.454,10.0,42.4,.200,.465,7.2,21.9,.228
31,2025-03-08,"",Seton Hall,REG (Conf),W,81,50,"",123.1,76.0,65.8,.333,.463,.647,73.2,75.0,13.7,14.3,.593,20.4,59.1,.315,.392,18.0,17.6,.196
32,2025-03-13,N,Villanova,CTOURN,W,73,56,"",122.7,94.1,59.5,.333,.444,.700,60.9,65.4,6.7,11.5,.667,14.7,18.8,.289,.394,10.6,16.7,.404
33,2025-03-14,N,Creighton,CTOURN,L,62,71,"",110.3,126.3,56.2,.066,.344,.493,53.6,26.9,5.3,12.1,.492,4.6,33.3,.033,.580,4.9,17.4,.260
